id,name,lat,lon,tipo,accessibility_score,flood_risk
osm_5315020168,OSM Node 5315020168,-23.5337613,-46.604715,onibus,0.5,0
osm_5315020175,OSM Node 5315020175,-23.5338431,-46.6056763,onibus,0.5,0
osm_5315020177,OSM Node 5315020177,-23.5359025,-46.6048562,onibus,0.5,0
osm_5315020179,OSM Node 5315020179,-23.5382965,-46.6055668,onibus,0.5,0
osm_5315619023,OSM Node 5315619023,-23.5309427,-46.6092265,onibus,0.5,0
osm_5315619031,OSM Node 5315619031,-23.5308407,-46.6097675,onibus,0.5,0
osm_5315619037,OSM Node 5315619037,-23.5297215,-46.6102092,onibus,0.5,0
osm_5315619042,OSM Node 5315619042,-23.5327887,-46.6133132,onibus,0.5,0
osm_5315619051,OSM Node 5315619051,-23.5341468,-46.6146798,onibus,0.5,0
osm_5315619061,OSM Node 5315619061,-23.5354627,-46.6159903,onibus,0.5,0
osm_5315619066,OSM Node 5315619066,-23.5267588,-46.6072454,onibus,0.5,0
osm_5316519428,OSM Node 5316519428,-23.5353132,-46.6197545,onibus,0.5,0
osm_5316519439,OSM Node 5316519439,-23.5338464,-46.6270161,onibus,0.5,0
osm_5316519442,OSM Node 5316519442,-23.5328856,-46.6309033,onibus,0.5,0
osm_5316519444,OSM Node 5316519444,-23.532801,-46.630548,onibus,0.5,0
osm_5316930423,OSM Node 5316930423,-23.5417803,-46.6146703,onibus,0.5,0
osm_5329460456,OSM Node 5329460456,-23.5229083,-46.62345,onibus,0.5,0
osm_5341154965,OSM Node 5341154965,-23.5448494,-46.6213114,onibus,0.5,0
osm_5341154968,OSM Node 5341154968,-23.5463778,-46.6202057,onibus,0.5,0
osm_5341154974,OSM Node 5341154974,-23.5485984,-46.6186286,onibus,0.5,0
osm_5350149972,OSM Node 5350149972,-23.5240944,-46.6170679,onibus,0.5,0
osm_5350149975,OSM Node 5350149975,-23.5243821,-46.6166839,onibus,0.5,0
osm_5350149976,OSM Node 5350149976,-23.5248005,-46.6152424,onibus,0.5,0
osm_5350149977,OSM Node 5350149977,-23.5258808,-46.6128948,onibus,0.5,0
osm_5350149981,OSM Node 5350149981,-23.5269106,-46.6107979,onibus,0.5,0
osm_5354502316,OSM Node 5354502316,-23.5359769,-46.6237709,onibus,0.5,0
osm_5363859733,OSM Node 5363859733,-23.5020701,-46.6225456,onibus,0.5,0
osm_5363859735,OSM Node 5363859735,-23.5028699,-46.6212797,onibus,0.5,0
osm_5363859737,OSM Node 5363859737,-23.5035715,-46.6204561,onibus,0.5,0
osm_5363859747,OSM Node 5363859747,-23.5021685,-46.6163588,onibus,0.5,0
osm_5363859768,OSM Node 5363859768,-23.5024363,-46.6114282,onibus,0.5,0
osm_5368677484,Luz,-23.5353887,-46.6344383,metro,0.5,0
osm_5369262558,Bresser-Mooca,-23.546504,-46.6069301,metro,0.5,0
osm_5369269022,Santa Cecília,-23.5393238,-46.6489566,metro,0.5,0
osm_5369277944,São Bento,-23.5440297,-46.634311,metro,0.5,0
osm_5383268305,OSM Node 5383268305,-23.526186,-46.6348818,onibus,0.5,0
osm_5383268313,OSM Node 5383268313,-23.5244107,-46.6376209,onibus,0.5,0
osm_5383268315,OSM Node 5383268315,-23.5227483,-46.6402893,onibus,0.5,0
osm_5383268823,OSM Node 5383268823,-23.5233313,-46.6423928,onibus,0.5,0
osm_5383268847,OSM Node 5383268847,-23.524831,-46.6456314,onibus,0.5,0
osm_5437768916,OSM Node 5437768916,-23.5277698,-46.625383,onibus,0.5,0
osm_5437768920,OSM Node 5437768920,-23.5279328,-46.6256344,onibus,0.5,0
osm_5448920683,OSM Node 5448920683,-23.5156259,-46.6444758,onibus,0.5,0
