from,to,tempo_min,transferencia,escada,calcada_ruim,risco_alag,modo
410003607,4114500,1.0,0,0,0,0,onibus
4114500,4114441,2.0,0,0,0,0,onibus
4114441,4114541,1.0,0,0,0,0,onibus
4114541,4114540,2.0,0,0,0,0,onibus
4114540,640003385,2.0,0,0,0,0,onibus
640003385,640000365,1.0,0,0,0,0,onibus
640000365,640000367,2.0,0,0,0,0,onibus
640000367,640000369,1.0,0,0,0,0,onibus
640000369,640000371,2.0,0,0,0,0,onibus
640000371,640000373,1.0,0,0,0,0,onibus
640000373,640000374,2.0,0,0,0,0,onibus
640000374,640000376,1.0,0,0,0,0,onibus
640000376,640000378,2.0,0,0,0,0,onibus
640000378,640000381,1.0,0,0,0,0,onibus
640000381,640000382,2.0,0,0,0,0,onibus
640000382,640000388,1.0,0,0,0,0,onibus
640000388,640000390,2.0,0,0,0,0,onibus
640000390,640000391,1.0,0,0,0,0,onibus
640000391,640000393,2.0,0,0,0,0,onibus
640000393,6415381,2.0,0,0,0,0,onibus
6415381,6415317,1.0,0,0,0,0,onibus
6415317,6413617,2.0,0,0,0,0,onibus
6413617,6415323,1.0,0,0,0,0,onibus
6415323,640000504,2.0,0,0,0,0,onibus
640000504,6415295,4.0,0,0,0,0,onibus
6415295,640000436,1.0,0,0,0,0,onibus
640000436,640000433,2.0,0,0,0,0,onibus
640000433,640000395,1.0,0,0,0,0,onibus
640000395,640000394,2.0,0,0,0,0,onibus
640000394,640000392,1.0,0,0,0,0,onibus
640000392,6415314,2.0,0,0,0,0,onibus
6415314,640000389,1.0,0,0,0,0,onibus
640000389,640000380,2.0,0,0,0,0,onibus
640000380,640000379,1.0,0,0,0,0,onibus
640000379,640000377,2.0,0,0,0,0,onibus
640000377,640000375,1.0,0,0,0,0,onibus
640000375,640000489,2.0,0,0,0,0,onibus
640000489,6415383,1.0,0,0,0,0,onibus
6415383,640000370,2.0,0,0,0,0,onibus
640000370,640000368,2.0,0,0,0,0,onibus
640000368,640000366,1.0,0,0,0,0,onibus
640000366,6415247,2.0,0,0,0,0,onibus
6415247,6414087,1.0,0,0,0,0,onibus
6414087,6414089,2.0,0,0,0,0,onibus
6414089,410003383,1.0,0,0,0,0,onibus
410003383,4114550,2.0,0,0,0,0,onibus
4114550,410003610,1.0,0,0,0,0,onibus
410003610,4114481,2.0,0,0,0,0,onibus
4114481,410003592,1.0,0,0,0,0,onibus
410003592,410003588,2.0,0,0,0,0,onibus
410003588,410003586,1.0,0,0,0,0,onibus
410003586,410003281,2.0,0,0,0,0,onibus
410003281,4114513,1.0,0,0,0,0,onibus
4114513,410003296,2.0,0,0,0,0,onibus
410003296,410003297,2.0,0,0,0,0,onibus
410003297,4114497,1.0,0,0,0,0,onibus
4114497,410003271,2.0,0,0,0,0,onibus
410003271,620003269,1.0,0,0,0,0,onibus
620003269,620003266,2.0,0,0,0,0,onibus
620003266,620003264,1.0,0,0,0,0,onibus
620003264,620003265,2.0,0,0,0,0,onibus
620003265,620003113,1.0,0,0,0,0,onibus
620003113,6201708,2.0,0,0,0,0,onibus
6201708,620003108,1.0,0,0,0,0,onibus
620003108,620003107,2.0,0,0,0,0,onibus
620003107,620003104,1.0,0,0,0,0,onibus
620003104,620003103,2.0,0,0,0,0,onibus
620003103,620003101,1.0,0,0,0,0,onibus
620003101,620003125,2.0,0,0,0,0,onibus
620003125,620003195,2.0,0,0,0,0,onibus
620003195,6201768,1.0,0,0,0,0,onibus
6201768,620003100,2.0,0,0,0,0,onibus
620003100,620003194,1.0,0,0,0,0,onibus
620003194,6201715,2.0,0,0,0,0,onibus
6201715,6201752,1.0,0,0,0,0,onibus
