id,name,lat,lon,tipo
301733,"Estr. De Ligação, 2375",-23.438793,-46.765945,onibus
301735,"Av. Euclides Da Cunha, 54",-23.43261,-46.781497,onibus
301736,"R. Denis Brean (p. Morro Doce-anh), 252",-23.451236,-46.794341,onibus
301737,"R. Denis Brean (p. Morro Doce-anh), 252",-23.451222,-46.794275,onibus
301738,R. George Dantu,-23.413595,-46.808203,onibus
301739,R. George Dantu,-23.413548,-46.808068,onibus
301740,R. Enéas De Camargo,-23.415927,-46.807252,onibus
301741,R. Aloisio Magalhães,-23.416854,-46.809004,onibus
301743,"R. George Dantu, 250",-23.415388,-46.810043,onibus
301745,"R. Enéas De Camargo, 453",-23.418517,-46.805343,onibus
301746,Rod. Anhanguera,-23.414728,-46.805338,onibus
301747,Rod. Anhanguera,-23.410614,-46.818406,onibus
301749,Rod. Anhanguera,-23.422023,-46.792222,onibus
301751,"R. Leopoldo De Passos Lima, 182",-23.430417,-46.78897,onibus
301752,R. Dr. Nilo Cairo,-23.411971,-46.813997,onibus
301753,R. Dr. Nilo Cairo,-23.412931,-46.812515,onibus
301754,R. Dr. Nilo Cairo,-23.412863,-46.812419,onibus
301755,"R. Leonel Martiniano, 246",-23.414108,-46.811952,onibus
301756,"R. Leonel Martiniano, 250",-23.414004,-46.812114,onibus
301758,R. Albert Jansen,-23.448385,-46.789081,onibus
301759,R. Albert Jansen,-23.44842,-46.789309,onibus
301760,"R. Leopoldo De Passos Lima, 182",-23.430304,-46.788987,onibus
301761,"Estr. De Perus, 1100",-23.415978,-46.780547,onibus
301763,"R. Delsuc Alves De Magalhães, 265",-23.435689,-46.788772,onibus
301764,"R. Delsuc Alves De Magalhães, 194",-23.435427,-46.78846,onibus
301765,"R. Francisco Bellazi, 109",-23.449748,-46.789073,onibus
301766,"R. Francisco Bellazi, 92",-23.44955,-46.78884,onibus
301767,"R. Mário Palmerio, 186",-23.438799,-46.791078,onibus
301768,"Av. Da Solidariedade, 24",-23.437188,-46.805763,onibus
301771,R. Lagoa Do Morro,-23.444382,-46.799485,onibus
301772,"R. Recife, 73",-23.434516,-46.809742,onibus
301773,"R. Osorio Alves De Castro, 22",-23.449117,-46.788154,onibus
301774,"Estr. Cel. José Gladiador, 551",-23.437657,-46.793129,onibus
301775,"Estr. Cel. José Gladiador, 769",-23.438884,-46.794324,onibus
301776,"Estr. Cel. José Gladiador, 805",-23.43922,-46.794707,onibus
301777,Av. Tte. Marquês,-23.409145,-46.823674,onibus
301778,Av. Tte. Marquês,-23.408975,-46.82264,onibus
301779,"R. Recife, 28",-23.436418,-46.810531,onibus
301780,"R. Dalva De Oliveira, 75",-23.438467,-46.802185,onibus
301783,"R. Dos Vitoriosos, 1",-23.436355,-46.802648,onibus
301784,"R. Minas Gerais, 12",-23.436346,-46.802331,onibus
301785,Terminal Jardim Britânia,-23.431538,-46.787191,onibus
301788,Terminal Jardim Britânia,-23.431644,-46.787175,onibus
301789,Terminal Jardim Britânia,-23.431805,-46.787148,onibus
301790,Terminal Jardim Britânia,-23.431924,-46.787131,onibus
301791,"Estr. De Pirapora, 1000",-23.434096,-46.800786,onibus
301792,"Estr. De Pirapora, 1000",-23.434406,-46.801068,onibus
301793,"R. D. Agnelo Rossi, 90",-23.439232,-46.793185,onibus
